"Key","Id","English(en)","Russian(ru)"
"FLY.001.name","FLY.001","Cicada magna pede (heaven bug)","Cicada magna pede (небесный жук)"
"FLY.001.description","FLY.001","teal spine, yellow head","бирюзовый хребет, жёлтая голова"
"FLY.002.name","FLY.002","Cicada magna pede (tropical hunter)","Cicada magna pede (тропический охотник)"
"FLY.002.description","FLY.002","most of the bug is green","весь жук зелёный"
"FLY.003.name","FLY.003","Cicada magna pede (forest dweller)","Cicada magna pede (лесной житель)"
"FLY.003.description","FLY.003","brown and green body","коричнево-зелёное тело"
"FLY.004.name","FLY.004","Cicada magna pede (crystal bug)","Cicada magna pede (кристальный жук)"
"FLY.004.description","FLY.004","blue and white body","сине-белое тело"
"FLY.name","FLY","La Regina Semiramide (the saint)","La Regina Semiramide (святая)"
"FLY.description","FLY","blue wings, yellow body","синие крылья, жёлтое тело"
"FLY1.001.name","FLY1.001","La Regina Semiramide (red dot)","La Regina Semiramide (красная точка)"
"FLY1.001.description","FLY1.001","purple wings, light-blue body","фиолетовые крылья, голубое тело"
"FLY1.002.name","FLY1.002","La Regina Semiramide (parrot mode)","La Regina Semiramide (режим попугай)"
"FLY1.002.description","FLY1.002","thick orange wings, blue center","толстые оранжевые крылья, синий центр"
"FLY1.003.name","FLY1.003","La Regina Semiramide (tree baboon)","La Regina Semiramide (древесная бабуина)"
"FLY1.003.description","FLY1.003","white legs, brown wings and head","белые ноги, коричневые крылья и голова"
"FLY1.004.name","FLY1.004","La Regina Semiramide (night wish)","La Regina Semiramide (ночное желание)"
"FLY1.004.description","FLY1.004","purple wings, red head and body","фиолетовые крылья, красная голова и тело"
"FLY2.name","FLY2","Aranea Cancri Armatae (monkey style)","Aranea Cancri Armatae (обезьяний стиль)"
"FLY2.description","FLY2","brown legs, grey-yellow hat","коричневые ноги, серо-жёлтая шляпа"
"FLY2.001.name","FLY2.001","Aranea Cancri Armatae (clownfish)","Aranea Cancri Armatae (рыба-клоун)"
"FLY2.001.description","FLY2.001","purple legs, orange body, teal hat","фиолетовые ноги, оранжевое тело, бирюзовая шляпа"
"FLY2.002.name","FLY2.002","Aranea Cancri Armatae (arctic fellow)","Aranea Cancri Armatae (арктический товарищ)"
"FLY2.002.description","FLY2.002","deep blue legs, white-blue hat","тёмно-синие ноги, бело-синяя шляпа"
"FLY2.003.name","FLY2.003","Aranea Cancri Armatae (crazy orange)","Aranea Cancri Armatae (безумный апельсин)"
"FLY2.003.description","FLY2.003","deep green legs, orange-green hat","тёмно-зелёные ноги, оранжево-зелёная шляпа"
"FLY2.004.name","FLY2.004","Aranea Cancri Armatae (snow white)","Aranea Cancri Armatae (белоснежка)"
"FLY2.004.description","FLY2.004","most of the bug is white","весь жук белый"
"FLY3.name","FLY3","Un insecto timido (shipbreaker)","Un insecto timido (корабельщик)"
"FLY3.description","FLY3","black head, white wings, brown antennae","чёрная голова, белые крылья, коричневые антенны"
"FLY3.001.name","FLY3.001","Un insecto timido (fruit plate)","Un insecto timido (фруктовая тарелка)"
"FLY3.001.description","FLY3.001","green head, orange wings, pink antennae","зелёная голова, оранжевые крылья, розовые антенны"
"FLY3.002.name","FLY3.002","Un insecto timido (lumen)","Un insecto timido (светлячок)"
"FLY3.002.description","FLY3.002","deep yellow head, pink wings, blue antennae","ярко-жёлтая голова, розовые крылья, голубые антенны"
"FLY3.003.name","FLY3.003","Un insecto timido (shadow walker)","Un insecto timido (теневой странник)"
"FLY3.003.description","FLY3.003","blue wings, purple head, green antennae","синие крылья, фиолетовая голова, зелёные антенны"
"FLY3.004.name","FLY3.004","Un insecto timido (god-bug)","Un insecto timido (бог-жук)"
"FLY3.004.description","FLY3.004","most of the bug is white","весь жук белый"
"FLY4.name","FLY4","Vesparum cornua (toxic waste)","Vesparum cornua (токсичные отходы)"
"FLY4.description","FLY4","purple and green body, grey horns","фиолетово-зелёное тело, серые рога"
"FLY4.001.name","FLY4.001","Vesparum cornua (the saint)","Vesparum cornua (святая)"
"FLY4.001.description","FLY4.001","light-yellow and light-blue body, grey horns","светло-жёлтое и светло-голубое тело, серые рога"
"FLY4.002.name","FLY4.002","Vesparum cornua (centaurus)","Vesparum cornua (кентавр)"
"FLY4.002.description","FLY4.002","dark-green body, dark-pink wings, light blue horns","тёмно-зелёное тело, тёмно-розовые крылья, голубые рога"
"FLY4.003.name","FLY4.003","Vesparum cornua (god-bug)","Vesparum cornua (бог-жук)"
"FLY4.003.description","FLY4.003","teal eyes, lightskin body, grey wings","бирюзовые глаза, светлая кожа, серые крылья"
"FLY4.004.name","FLY4.004","Vesparum cornua (pinkman)","Vesparum cornua (розовик)"
"FLY4.004.description","FLY4.004","teal and pink body, brown wings, blue horns","бирюзово-розовое тело, коричневые крылья, голубые рога"
"FLY5.name","FLY5","Duplex cadaver-esus beetle (dead orange)","Duplex cadaver-esus beetle (мёртвый апельсин)"
"FLY5.description","FLY5","purple and orange body","фиолетово-оранжевое тело"
"FLY5.001.name","FLY5.001","Duplex cadaver-esus beetle (arctic fellow)","Duplex cadaver-esus beetle (арктический товарищ)"
"FLY5.001.description","FLY5.001","light-blue and deep-teal body","голубое и тёмно-бирюзовое тело"
"FLY5.002.name","FLY5.002","Duplex cadaver-esus beetle (sheeva)","Duplex cadaver-esus beetle (Шива)"
"FLY5.002.description","FLY5.002","deep green and deep blue body","тёмно-зелёное и тёмно-синее тело"
"FLY5.003.name","FLY5.003","Duplex cadaver-esus beetle (frog-lester)","Duplex cadaver-esus beetle (лягушачий Лестер)"
"FLY5.003.description","FLY5.003","orange and emerald body","оранжево-изумрудное тело"
"FLY5.004.name","FLY5.004","Duplex cadaver-esus beetle (prometheus)","Duplex cadaver-esus beetle (Прометей)"
"FLY5.004.description","FLY5.004","red and blue body","красно-синее тело"
"FLY6.name","FLY6","Cantharum cellularum est (the pinkman)","Cantharum cellularum est (розовик)"
"FLY6.description","FLY6","golden hat, pink and blue body","золотая шляпа, розово-голубое тело"
"FLY6.001.name","FLY6.001","Cantharum cellularum est (royal guard)","Cantharum cellularum est (королевский страж)"
"FLY6.001.description","FLY6.001","light green hat, blue and white body","светло-зелёная шляпа, бело-голубое тело"
"FLY6.002.name","FLY6.002","Cantharum cellularum est (crazy orange)","Cantharum cellularum est (безумный апельсин)"
"FLY6.002.description","FLY6.002","orange and green body, teal-brown hat","оранжево-зелёное тело, бирюзово-коричневая шляпа"
"FLY6.003.name","FLY6.003","Cantharum cellularum est (fluffy bunny)","Cantharum cellularum est (пушистый кролик)"
"FLY6.003.description","FLY6.003","pink and white body, teal hat","розово-белое тело, бирюзовая шляпа"
"FLY6.004.name","FLY6.004","Cantharum cellularum est (the saint)","Cantharum cellularum est (святая)"
"FLY6.004.description","FLY6.004","light-blue and white-blue body, yellow hat","светло-голубое и бело-голубое тело, жёлтая шляпа"
"FLY7.name","FLY7","Culex turtur (swamp king)","Culex turtur (болотный король)"
"FLY7.description","FLY7","green wings, white hat","зелёные крылья, белая шляпа"
"FLY7.001.name","FLY7.001","Culex turtur (underdog)","Culex turtur (андердог)"
"FLY7.001.description","FLY7.001","light-yellow and green wings, white-blue hat","светло-жёлтые и зелёные крылья, бело-голубая шляпа"
