Key,Id,English(en),Russian(ru)
red,,RED,красный
green,,GREEN,зелёный
blue,,BLUE,синий
yellow,,YELLOW,жёлтый
orange,,ORANGE,оранжевый
purple,,PURPLE,фиолетовый
pink,,PINK,розовый
black,,BLACK,чёрный
white,,WHITE,белый
brown,,BROWN,коричневый
gray,,GRAY,серый
grey,,GREY,серый
gold,,GOLD,золотой
golden,,GOLDEN,золотой
silver,,SILVER,серебряный
teal,,TEAL,бирюзовый
emerald,,EMERALD,изумрудный
malachite,,MALACHITE,малахитовый
iron,,IRON,железный
chromic,,CHROMIC,хромированный
ruby,,RUBY,рубиновый
sapphire,,SAPPHIRE,сапфировый
bone,,BONE,костяной
skeleton,,SKELETON,костяной
lightskin,,LIGHTSKIN,светлокожий
bronze,,BRONZE,бронзовый
darkgreen,,DARK-GREEN,тёмно-зелёный
dark,,DARK,тёмный
light-red,,LIGHT-RED,светло-красный
light-green,,LIGHT-GREEN,светло-зелёный
light-blue,,LIGHT-BLUE,светло-синий
light-yellow,,LIGHT-YELLOW,светло-жёлтый
light-orange,,LIGHT-ORANGE,светло-оранжевый
light-purple,,LIGHT-PURPLE,светло-фиолетовый
light-pink,,LIGHT-PINK,светло-розовый
light-brown,,LIGHT-BROWN,светло-коричневый
light-gray,,LIGHT-GRAY,светло-серый
light-grey,,LIGHT-GREY,светло-серый
light-bronze,,LIGHT-BRONZE,светло-бронзовый
light-gold,,LIGHT-GOLD,светло-золотой
light-teal,,LIGHT-TEAL,светло-бирюзовый
dark-red,,DARK-RED,тёмно-красный
dark-green,,DARK-GREEN,тёмно-зелёный
dark-blue,,DARK-BLUE,тёмно-синий
dark-yellow,,DARK-YELLOW,тёмно-жёлтый
dark-orange,,DARK-ORANGE,тёмно-оранжевый
dark-purple,,DARK-PURPLE,тёмно-фиолетовый
dark-pink,,DARK-PINK,тёмно-розовый
dark-brown,,DARK-BROWN,тёмно-коричневый
dark-gray,,DARK-GRAY,тёмно-серый
dark-grey,,DARK-GREY,тёмно-серый
dark-teal,,DARK-TEAL,тёмно-бирюзовый
dark-iron,,DARK-IRON,тёмно-железный
